섹션,10년합계,비중(%)
G,488446.0,25.15644040019901
H,479353.0,24.688123508344002
B,315581.0,16.253372159737623
C,258371.0,13.306884819693105
A,163904.0,8.441549746244657
F,128632.0,6.624935492476955
E,91054.0,4.689555292089034
D,16293.0,0.8391385812156152
