application_year,term,tf,df
2016,도구경로,12,1
2016,슬리브 외벽 내,10,1
2016,슬리브외벽내,10,1
2016,외벽 내,10,1
2016,외벽내,10,1
2016,타깃 표면,10,1
2016,타깃표면,10,1
2016,축 선,9,1
2016,라이 각도,8,1
2016,라이각도,8,1
2016,로프트 각도,8,1
2016,로프트각도,8,1
2016,샤프트 슬리브 캡,8,1
2016,샤프트슬리브캡,8,1
2016,슬리브 캡,8,1
2016,슬리브캡,8,1
2016,작동방법,8,1
2016,호 젤,8,1
2016,보어 축,7,1
2016,보어 축 선,7,1
2016,보어축,7,1
2016,보어축선,7,1
2016,샤프트 보어 축,7,1
2016,샤프트 보어 축 선,7,1
2016,샤프트보어축,7,1
2016,샤프트보어축선,7,1
2016,슬리브축선,7,1
2016,수용 부,6,1
2016,수용부,6,1
2016,미세 절단,5,1
2016,미세절단,5,1
2016,벌크 절단,5,1
2016,벌크절단,5,1
2016,슬리브 축선,5,1
2016,골프 클럽 샤프트,4,1
2016,골프클럽샤프트,4,1
2016,관련방법,4,1
2016,내부 면,4,1
2016,내부면,4,1
2016,리브 바디,4,1
2016,리브 캡,4,1
2016,리브바디,4,1
2016,리브캡,4,1
2016,부 내벽,4,1
2016,부내벽,4,1
2016,상호 작용,4,1
2016,상호작용,4,1
2016,소울 부분,4,1
2016,소울부분,4,1
2016,수용 부 내벽,4,1
2016,수용 홈,4,1
2016,수용부내벽,4,1
2016,수용홈,4,1
2016,슬리브 상단,4,1
2016,슬리브 축선 사이,4,1
2016,슬리브 하단,4,1
2016,슬리브상단,4,1
2016,슬리브축선사이,4,1
2016,슬리브하단,4,1
2016,전방 부분,4,1
2016,전방부분,4,1
2016,축선 사이,4,1
2016,축선사이,4,1
2016,캡 벽,4,1
2016,클럽 샤프트,4,1
2016,클럽샤프트,4,1
2016,후방 부분,4,1
2016,후방부분,4,1
2016,힐 부분,4,1
2016,힐부분,4,1
2016,골프 커플링,3,1
2016,골프 커플링 기구,3,1
2016,골프커플링,3,1
2016,골프커플링기구,3,1
2016,단 부,3,1
2016,커플링 기구,3,1
2016,커플링기구,3,1
2016,클럽 헤드 바디,3,1
2016,클럽헤드바디,3,1
2016,헤드 바디,3,1
2016,헤드바디,3,1
2016,lie,2,1
2016,lip,2,1
2016,loft,2,1
2016,rib,2,1
2016,가상 경계 사이,2,1
2016,가상경계사이,2,1
2016,경계 사이,2,1
2016,경계사이,2,1
2016,동 축,2,1
2016,명세서,2,1
2016,보어 내,2,1
2016,보어내,2,1
2016,상기 도구,2,1
2016,상기도구,2,1
2016,상부 부분,2,1
2016,상부부분,2,1
2016,샤프트 수용,2,1
2016,샤프트 수용 부,2,1
2016,샤프트 슬리브 바디,2,1
2016,샤프트수용,2,1
2016,샤프트수용부,2,1
2016,샤프트슬리브바디,2,1
2016,센터링,2,1
2016,소울 하단,2,1
2016,소울하단,2,1
2016,슬리브 바디,2,1
2016,슬리브 축,2,1
2016,슬리브 축 선,2,1
2016,슬리브바디,2,1
2016,슬리브축,2,1
2016,임플란트,2,1
2016,제거 동안,2,1
2016,제거동안,2,1
2016,종 방향,2,1
2016,종방향,2,1
2016,타격 면,2,1
2016,타격면,2,1
2016,토우 부분,2,1
2016,토우부분,2,1
